OUTLET_CODE,SALES_UNITS,UNIT_PTR,FREQUENCY,PRODUCT_CODE_ENCODED,CLUSTER
OL10758,15.91891891891892,188.9101439147818,74,36.32432432432432,1
OL10759,14.4,24.29004328822222,15,61.4,0
OL10760,16.0,8.92857143125,4,63.0,0
OL10761,16.11111111111111,17.44047619189815,9,52.0,0
OL10762,20.57894736842105,15.62713602461623,19,45.473684210526315,0
OL10763,9.4,45.17532466895833,5,21.8,0
OL10764,14.833333333333334,15.787337664583333,6,47.0,0
OL10766,22.789473684210527,8.693609024004022,38,53.6578947368421,0
OL10767,66.4,6.249999999541666,10,50.6,0
OL10769,19.2,8.869047621041666,15,47.4,0
OL10770,24.0,4.4642857125,1,59.0,0
OL10772,15.941176470588236,26.537433157894323,17,54.05882352941177,0
OL10773,14.3,29.25974025489583,10,52.3,0
OL10774,4.411764705882353,87.86669213188725,17,34.411764705882355,0
OL10775,16.666666666666668,7.440476191944445,6,59.666666666666664,0
OL10776,2.196078431372549,103.96581359517975,51,52.333333333333336,0
OL10777,4.076923076923077,83.1135530949092,39,63.0,0
OL10778,17.954545454545453,19.078364818560605,22,55.0,0
OL10779,10.104166666666666,54.858969156667285,48,49.479166666666664,0
OL10781,28.8,8.928571429166666,25,59.12,0
OL10782,24.153846153846153,8.928571429746418,13,60.0,0
OL10783,118.28571428571429,7.015306122656249,14,53.0,0
OL10786,17.846153846153847,8.241758243525641,26,55.5,0
OL10787,3.2222222222222223,114.31141774625,36,43.80555555555556,0
OL10788,10.814814814814815,97.46973705741641,81,48.370370370370374,0
OL10789,15.333333333333334,12.93398268451389,15,45.0,0
OL10790,19.4375,54.2141842518316,32,50.09375,0
OL10792,20.72,8.17857143005,25,59.16,0
OL10794,15.428571428571429,4.464285713690476,7,45.285714285714285,0
OL10795,24.0,4.4642857125,2,27.0,0
OL10798,16.933333333333334,8.928571429805555,15,45.266666666666666,0
OL10799,11.25,45.29626623283333,20,42.5,0
OL10801,18.074074074074073,8.573082012623457,27,52.074074074074076,0
OL10802,24.0,4.4642857125,1,59.0,0
OL10803,15.076923076923077,53.651348654185526,13,50.38461538461539,0
OL10804,19.17391304347826,12.220496896059784,23,59.43478260869565,0
OL10805,9.909090909090908,49.8819362480303,11,47.63636363636363,0
OL10806,13.0,15.760188089784485,29,54.724137931034484,0
OL10807,16.0,6.250000000666667,5,53.0,0
OL10808,17.714285714285715,8.099489797559524,14,60.57142857142857,0
OL10809,26.08,25.129870132016666,25,55.2,0
OL10810,12.67741935483871,53.09213971582661,124,47.29032258064516,0
OL10811,15.894736842105264,26.36705399667032,19,39.473684210526315,0
OL10813,21.058823529411764,9.453781514191178,17,54.11764705882353,0
OL10814,20.90566037735849,10.596361186484792,53,40.056603773584904,0
OL10815,16.0,8.92857143125,1,80.0,0
OL10816,20.833333333333332,8.70535714421875,24,54.958333333333336,0
OL10819,11.909090909090908,45.749704831818185,11,60.36363636363637,0
OL10820,18.217391304347824,14.832015811911232,23,49.73913043478261,0
OL10821,3.064935064935065,91.6834626258588,77,64.57142857142857,0
OL10823,16.0,8.92857143125,15,58.333333333333336,0
OL10824,19.466666666666665,8.333333335180557,15,57.666666666666664,0
OL10827,17.703703703703702,10.452741704922841,27,47.96296296296296,0
OL10828,20.0,8.92857143046875,8,52.125,0
OL10829,19.263157894736842,30.720266575187974,19,50.78947368421053,0
OL10830,16.266666666666666,39.09307359769445,15,57.06666666666667,0
OL10831,15.466666666666667,7.083333334625,15,42.53333333333333,0
OL10832,14.7,34.8701298696875,10,57.3,0
OL10834,15.529411764705882,13.066271963786766,17,54.76470588235294,0
OL10836,18.23076923076923,20.464951716239316,39,55.69230769230769,0
OL10838,12.340425531914894,66.29939209647607,47,50.42553191489362,0
OL10840,16.347826086956523,7.336956523125,23,51.608695652173914,0
OL10843,13.366666666666667,11.106601732666666,30,44.7,0
OL10844,2.4444444444444446,135.36475869238683,81,47.32098765432099,1
OL10848,21.384615384615383,10.377122877852564,13,48.76923076923077,0
OL10849,15.642857142857142,10.19712430485119,14,54.714285714285715,0
OL10850,18.775280898876403,15.154494383332553,89,48.92134831460674,0
OL10851,5.777777777777778,154.42201028178985,432,47.710648148148145,1
OL10852,3.611111111111111,131.28607503550927,18,50.611111111111114,0
OL10854,16.545454545454547,8.495670997935607,33,56.60606060606061,0
OL10855,27.76923076923077,9.100274726602565,26,52.34615384615385,0
OL10856,17.620689655172413,7.481527094558402,29,58.55172413793103,0
OL10857,18.0,19.851398603480863,26,44.46153846153846,0
OL10858,18.642857142857142,10.516001855612746,14,51.57142857142857,0
OL10859,21.333333333333332,8.928571430208335,3,43.333333333333336,0
OL10861,24.0,8.722527473766025,26,58.76923076923077,0
OL10862,22.896551724137932,8.282019705711207,29,51.37931034482759,0
OL10863,21.29032258064516,7.776497696774194,31,57.225806451612904,0
OL10864,16.0,8.035714287000001,5,29.6,0
OL10865,16.734177215189874,14.935578663724383,158,44.43037974683544,0
OL10866,18.5,7.812500001380209,8,45.125,0
OL10868,15.972972972972974,27.331081082218468,37,44.513513513513516,0
OL10869,16.25,7.254464286875001,16,57.5625,0
OL10870,18.833333333333332,15.760281386197917,12,58.666666666666664,0
OL10871,17.88888888888889,12.50450938038966,18,52.111111111111114,0
OL10873,19.363636363636363,136.28478664079952,77,39.493506493506494,1
OL10874,16.694444444444443,10.071699136631945,36,45.47222222222222,0
